sep=;
Schulnummer;Schulform;Schulbezeichnung_1;Schulbezeichnung_2;Schulbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;E-Mail;Homepage;Rechtsform;Traegernummer;Gemeindeschluessel;Schulbetriebsschluessel;Schulbetriebsdatum;EPSG;UTMRechtswert;UTMHochwert;
"100000";"25";"Studienkolleg des Ökumenischen";"Studienwerks e.V. für ausländische";"Studierende";"Bochum, WBK KOL Studienkolleg";"44799";"Bochum";"Girondelle 80";"0234";"9388231";"0234";"9388260";"100000@schule.nrw.de";"https://www.studienkolleg-bochum.de";"2";"10100";"05911000";"6";"01.01.1974";"null";"378180";"5701853"
"100010";"20";"Gymnasium Claudia Agrippina Privat";"schule als priv.Ersatzsch. d. Sek.I u.II";"im Aufbau d. CAPS Privatschu gGmbH";"Köln, Gym Gymnasium Claudia Agrippina";"50933";"Köln";"Stolberger Str. 112";"0221";"37996433";"0221";"37990671";"100010@schule.nrw.de";"http://www.claudia-agrippina-privatschule.de";"2";"83150";"05315000";"1";"01.08.2016";"EPSG:25832";"352258";"5645500"
"100011";"15";"Städt. Gesamtschule";"Schule d. Sekundarstufe I u. II";"";"Haan, GE Walder Straße";"42781";"Haan";"Walder Str. 15";"02129";"3754950";"02129";"37545999";"100011@schule.nrw.de";"http://www.gesamtschule-haan.de";"1";"11435";"05158008";"1";"01.08.2017";"EPSG:25832";"361466";"5673192"
"100012";"02";"Städt. Gemeinschaftsgrundschule";"Am Friedenspark";"- Primarstufe -";"Leverkusen, GG Am Friedenspark";"51371";"Leverkusen";"Netzestr. 12";"0214";"310830";"0214";"3108320";"100012@schule.nrw.de";"http://www.ggs-am-friedenspark.com";"1";"10080";"05316000";"1";"01.08.2017";"EPSG:25832";"356570";"5658484"
"100014";"02";"Kolibri-Schule";"Städt. Gemeinschaftsgrundschule";"";"Herne, GG Kolibri-Schule";"44625";"Herne";"Jean-Vogel-Str. 36";"02323";"163970";"02323";"163981";"100014@schule.nrw.de";"https://www.kolibri-schule-herne.de/";"1";"10327";"05916000";"1";"01.08.2017";"EPSG:25832";"376821";"5710073"
"100015";"20";"Städt. Wim-Wenders-Gymnasium";"Sekundarstufe I und II";"";"Düsseldorf, Gym Wim-Wenders";"40227";"Düsseldorf";"Schmiedestr. 17";"0211";"8924260";"0211";"8929604";"100015@schule.nrw.de";"https://ww-gym.de";"1";"10042";"05111000";"1";"01.08.2017";"EPSG:25832";"346808";"5675555"
"100016";"15";"Kupferstädter Gesamtschule";"- Sekundarstufe I und II -";"";"Stolberg, GE Kupferstädter";"52222";"Stolberg (Rhld.)";"Breslauer Str. 1";"02402";"9975610";"02402";"9975631";"100016@schule.nrw.de";"http://kupferstädter-gesamtschule.de";"1";"13420";"05334032";"1";"01.08.2017";"EPSG:25832";"304543";"5629274"
"100017";"02";"Städt. Gem. Grundschule";"im Zentrum von Hürth";"- Primarstufe -";"Hürth, GG Bonnstraße";"50354";"Hürth";"Bonnstr. 109";"02233";"974420";"02233";"9744215";"100017@schule.nrw.de";"https://www.grundschule-zentrum-huerth.de/";"1";"12841";"05362028";"1";"01.08.2017";"EPSG:25832";"351089";"5638619"
"100018";"17";"Freie Waldorfschule Rudolf Steiner Schu-";"le u. Parzivalsch. m. Heliandzw.,Förder-";"schule,Staatl. genehm.priv. Ersatzschule";"Essen, FW Schellstraße";"45134";"Essen";"Schellstr. 47";"0201";"435150";"0201";"4351510";"100018@schule.nrw.de";"http://www.waldorfschule-essen.de";"2";"70610";"05113000";"1";"01.08.1973";"EPSG:25832";"362960";"5697806"
"100019";"15";"Joseph Beuys Gesamtschule";"der Stadt Kleve";"- Sekundarstufen I und II -";"Kleve, GE Joseph Beuys";"47533";"Kleve";"Hoffmannallee 15";"02821";"75040";"02821";"750444";"100019@schule.nrw.de";"http://jbg.kleve.de/";"1";"12087";"05154036";"1";"01.08.2017";"EPSG:25832";"302000";"5740602"
"100020";"02";"Städt. Kath. Grundschule";"Kartause-Hain-Schule";"- Primarstufe -";"Düsseldorf, KG Kartause-Hain-Schule";"40468";"Düsseldorf";"Unterrather Str. 76";"0211";"4791163";"0211";"4299019";"100020@schule.nrw.de";"http://www.kartause-hain-schule.de";"1";"10042";"05111000";"1";"01.08.1973";"EPSG:25832";"345372";"5682741"
"100021";"15";"Rupert-Neudeck-Gesamtschule der Stadt";"Tönisvorst  -Sekundarstufen I und II-";"";"Tönisvorst, GE Rupert-Neudeck";"47918";"Tönisvorst";"Corneliusstr. 25";"02151";"792650";"02151";"792656";"100021@schule.nrw.de";"https://rng-tv.de/";"1";"12026";"05166028";"1";"01.08.2017";"EPSG:25832";"324806";"5688064"
"100022";"14";"Sekundarschule Medebach-Winterberg";"- Sekundarstufe I -";"";"Medebach, SK Medebach-Winterberg";"59964";"Medebach";"Schützenstr. 12";"02982";"922930";"02982";"922931";"100022@schule.nrw.de";"http://www.sek-medebach-winterberg.de";"1";"81644";"05958028";"1";"01.08.2017";"EPSG:25832";"479109";"5671472"
"100023";"15";"Gesamtschule Lengerich/Tecklenburg";"- Sekundarstufe I und II -";"";"Lengerich, GE Lengerich/Tecklenburg";"49525";"Lengerich";"Margarethenstr. 1";"05481";"338510";"05481";"338519";"100023@schule.nrw.de";"https://www.gesamtschule-lt.de/";"1";"83197";"05566040";"1";"01.08.2017";"EPSG:25832";"422527";"5782344"
"100024";"15";"Euregioschule Gesamtschule der Stadt";"Gronau, Sekundarstufe I und II";"";"Gronau, GE Euregioschule";"48599";"Gronau (Westf.)";"Gildehauser Damm 49";"02565";"4019761";"02565";"4019762";"100024@schule.nrw.de";"http://eu.schule.gronau.de";"1";"13687";"05554020";"1";"01.08.2017";"EPSG:25832";"366057";"5783554"
"100025";"15";"Montessori Gesamtschule Sendenhorst";"Staatl. gen. Ersatzschule der";"Sekundarstufen I und II";"Sendenhorst, GE Teigelkamp";"48324";"Sendenhorst";"Teigelkamp 5";"02526";"937407";"02526";"950041";"100025@schule.nrw.de";"http://www.montessorischule-sendenhorst.de";"2";"82661";"05570040";"1";"01.08.2017";"EPSG:25832";"419653";"5743933"
"100026";"02";"Schule unter der Iburg";"Städt. Gemeinschaftsgrundschule";"Bad Driburg, -Primarstufe-";"Bad Driburg, GG Schule unter der Iburg";"33014";"Bad Driburg";"Jahnstr. 12";"05253";"3894";"05253";"4391";"100026@schule.nrw.de";"http://www.schule-unter-der-iburg.de";"1";"15751";"05762004";"1";"01.08.2018";"EPSG:25832";"501047";"5731508"
